,TIMESTAMP,I_static_model_state_x,I_static_model_state_y,S_static_model_state_x,S_static_model_state_y,S_static_model_state_z,S_static_model_state_a,S_static_model_state_b,S_static_model_state_g,I_current_state_x,I_current_state_y,S_current_state_x,S_current_state_y,S_current_state_z,S_current_state_a,S_current_state_b,S_current_state_g,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.02,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.948005139662506,976.8098905281149,-18.99432564305773,-19.025380880176417,0.33665479866632003,0.14118953423902292,-0.014704660498927937,0.017944396658314102,0.0,0.0018095749120111324,-8.635078107950232e-05,0.00015924542939044898,0.0001803599967363195,0.00013364835794710608,-0.00033231008290063237
1,0.05,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.949346652677114,976.8099705345561,-18.994270673743962,-19.025384158489132,0.3366554241690055,0.14120077374131632,-0.014695080507050325,0.017935702728535036,0.0,0.0018127992074291263,-8.490484689583617e-05,0.00015921868562685136,0.00017673806852055158,0.0001331249146099321,-0.00029624190649415013
2,0.09,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.95069037425145,976.8100495401311,-18.99421561393311,-19.025387395790737,0.33665604892862777,0.14121191012870324,-0.014685513536043495,0.01792802364629876,0.0,0.001815712358337874,-8.357772009391213e-05,0.00015919489195821072,0.0001734214161594476,0.00013260811624228906,-0.00026357623575736845
3,0.13,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.95248507424308,976.810153466378,-18.994142075006625,-19.025391654232074,0.33665688092961477,0.1412266132116476,-0.014672777615185638,0.017919199442099853,0.0,0.001819165753430139,-8.197831132536443e-05,0.0001591673017226632,0.00016943246336766391,0.00013193925441390807,-0.00022476319421594213
4,0.16,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.95428287868246,976.8102559396592,-18.9940684088735,-19.025395853137255,0.33665771193613775,0.14124116715231688,-0.01466006395097783,0.017911808107016924,0.0,0.0018221856431097066,-8.055562387917414e-05,0.00015914392017524128,0.00016589006792538358,0.00013130173595587495,-0.00019075115907835654
5,0.2,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.95608339899296,976.8103571215084,-18.993994631455898,-19.025399999125227,0.3366585421047332,0.14125558868286398,-0.014647371545259765,0.0179056724783382,0.0,0.0018248280722131087,-7.929156681305793e-05,0.00015912424200674918,0.00016274560031429404,0.00013070094970829834,-0.00016094523185748271
6,0.23,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.9569845700491,976.8104072739811,-18.99395770542238,-19.025402054153375,0.3366589569184307,0.14126275451547016,-0.014641032948236985,0.017903026267336,0.0,0.0018260231713045148,-7.871374601687569e-05,0.0001591156492922339,0.00016130863847543328,0.00013041522542459925,-0.00014745414169635795
7,0.25,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.95833735709608,976.8104820016698,-18.993902274148258,-19.025405116165985,0.3366595788448153,0.14127345192268811,-0.014631534116125229,0.01789953417580973,0.0,0.0018276736290805705,-7.790923845079402e-05,0.0001591041729990978,0.00015930784268705227,0.0001300053735394506,-0.00012881534710317615
8,0.28,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.95969127659711,976.8105561741752,-18.993846796471143,-19.025408155429616,0.3366602004607878,0.14128409242434248,-0.014622045672050134,0.017896566674001056,0.0,0.0018291682785633876,-7.717388897665218e-05,0.00015909425070855876,0.00015747839287564924,0.00012961798654119227,-0.00011193271555817776
9,0.32,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.961498081359444,976.8106542892966,-18.993772761544296,-19.02541217575654,0.33666102887418664,0.14129819960009918,-0.014609409619277182,0.017893341320080133,0.0,0.0018309447232974577,-7.629103801732906e-05,0.0001590831873660604,0.00015528014962496825,0.00012913575579308117,-9.187033589487626e-05
10,0.35,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.96285424620731,976.8107273454007,-18.993717191862725,-19.025415169274947,0.33666164992874237,0.14130872554275192,-0.014599943279455109,0.017891413714649293,0.0,0.0018321321135993814,-7.569522743803162e-05,0.00015907634455518312,0.00015379475116528258,0.0001287989339017166,-7.846809865269614e-05
11,0.38,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,48.96421122645694,976.8107999905176,-18.99366158876957,-19.02541814595291,0.3366622708030393,0.14131920923075394,-0.014590485524501505,0.017889863374997057,0.0,0.0018332085657021906,-7.515085135767084e-05,0.00015907061686925162,0.00015243564619041812,0.0001284824580061967,-6.632823307780629e-05
